implementation,cpp_standard,run,execution_time_seconds
matrix_mul_par_c++17,c++17,1,0.37715
matrix_mul_par_c++17,c++17,2,0.387984
matrix_mul_par_c++17,c++17,3,0.389368
matrix_mul_par_c++17,c++17,4,0.35075
matrix_mul_par_c++17,c++17,5,0.401708
matrix_mul_par_unseq_c++17,c++17,1,0.249495
matrix_mul_par_unseq_c++17,c++17,2,0.187955
matrix_mul_par_unseq_c++17,c++17,3,0.285881
matrix_mul_par_unseq_c++17,c++17,4,0.176618
matrix_mul_par_unseq_c++17,c++17,5,0.212832
matrix_mul_threads_c++17,c++17,1,0.061519
matrix_mul_threads_c++17,c++17,2,0.0557523
matrix_mul_threads_c++17,c++17,3,0.0522443
matrix_mul_threads_c++17,c++17,4,0.0558722
matrix_mul_threads_c++17,c++17,5,0.0494017
matrix_mul_pthreads_c++17,c++17,1,0.11853
matrix_mul_pthreads_c++17,c++17,2,0.0925497
matrix_mul_pthreads_c++17,c++17,3,0.0888849
matrix_mul_pthreads_c++17,c++17,4,0.0990647
matrix_mul_pthreads_c++17,c++17,5,0.109274
matrix_mul_par_c++23,c++23,1,0.224537
matrix_mul_par_c++23,c++23,2,0.177036
matrix_mul_par_c++23,c++23,3,0.253814
matrix_mul_par_c++23,c++23,4,0.186374
matrix_mul_par_c++23,c++23,5,0.268891
matrix_mul_par_unseq_c++23,c++23,1,0.234292
matrix_mul_par_unseq_c++23,c++23,2,0.176785
matrix_mul_par_unseq_c++23,c++23,3,0.271411
matrix_mul_par_unseq_c++23,c++23,4,0.172328
matrix_mul_par_unseq_c++23,c++23,5,0.258622
matrix_mul_threads_c++23,c++23,1,0.0524168
matrix_mul_threads_c++23,c++23,2,0.0687684
matrix_mul_threads_c++23,c++23,3,0.0825717
matrix_mul_threads_c++23,c++23,4,0.0488672
matrix_mul_threads_c++23,c++23,5,0.0649654
matrix_mul_pthreads_c++23,c++23,1,0.119904
matrix_mul_pthreads_c++23,c++23,2,0.0862339
matrix_mul_pthreads_c++23,c++23,3,0.0894234
matrix_mul_pthreads_c++23,c++23,4,0.0960762
matrix_mul_pthreads_c++23,c++23,5,0.136113
